"","name","address","vacancy","postcode","lga"
"1","Wilcox Street Early Education Centre","ALBURY NSW 2640","Vacancy","2640","Albury"
"2","Albury TAFE Child Care Centre","ALBURY NSW 2640","No Vacancy","2640","Albury"
"3","Goodstart Early Learning Albury - Banff Avenue 1","ALBURY NSW 2640","Vacancy","2640","Albury"
"4","West Albury Preschool Centre","ALBURY NSW 2640",NA,"2640","Albury"
"5","Albury Preschool","ALBURY NSW 2640",NA,"2640","Albury"
"6","AlburyCity - St Pats OOSH","ALBURY NSW 2640","No Vacancy","2640","Albury"
"7","AlburyCity - Albury OOSH","ALBURY NSW 2640","No Vacancy","2640","Albury"
"8","Big Childcare - Albury West PS OSHC","WEST ALBURY NSW 2640","No Vacancy","2640","Albury"
"9","Lots of Tots Early Learning Centre","ALBURY NSW 2640","No Vacancy","2640","Albury"
"10","Goodstart Early Learning Albury - Pemberton Street","ALBURY NSW 2640","Vacancy","2640","Albury"
"11","Scots Pre-School","ALBURY NSW 2640",NA,"2640","Albury"
"12","Guardian Childcare & Education Kinfolk Albury","ALBURY NSW 2640","No Vacancy","2640","Albury"
"13","The Scots School TheirCare","ALBURY NSW 2640","Vacancy","2640","Albury"
"14","Kiewa Kids","SOUTH ALBURY NSW 2640","No Vacancy","2640","Albury"
"15","Albury Occasional Child Care and Early Learning Centre","ALBURY NSW 2640","No Vacancy","2640","Albury"
"16","Koori Kindermanna Preschool","GLENROY NSW 2640",NA,"2640","Albury"
"17","Yarrunga Early Learning Centre Inc.","ALBURY NSW 2640","No Vacancy","2640","Albury"
"18","GREEN LEAVES EARLY LEARNING ALBURY","NORTH ALBURY NSW 2640","Vacancy","2640","Albury"
"19","AlburyCity - Albury North OOSH","ALBURY NSW 2640","No Vacancy","2640","Albury"
"20","Family Friend Home Support","NORTH ALBURY NSW 2640","No Vacancy","2640","Albury"
"21","Family Friend Home Support - Victoria","NORTH ALBURY NSW 2640","No Vacancy","2640","Albury"
"22","Family Friend Outside School Hours Care","ALBURY NSW 2640","No Vacancy","2640","Albury"
"23","Woodlands Childcare Centre","ALBURY NSW 2640","No Vacancy","2640","Albury"
"24","Greater Hume Children Services","LAVINGTON NSW 2641","No Vacancy","2641","Albury"
"25","Greater Hume Children Services","LAVINGTON NSW 2641","Vacancy","2641","Albury"
"26","Moresby Park Preschool","NORTH ALBURY NSW 2640",NA,"2640","Albury"
"27","Kidscape Early Learning Centre","EAST ALBURY NSW 2640","No Vacancy","2640","Albury"
"28","Lavington Occasional Child Care Centre","LAVINGTON NSW 2641","No Vacancy","2641","Albury"
"29","Ross Circuit Preschool Centre","LAVINGTON NSW 2641",NA,"2641","Albury"
"30","Hume Public School Preschool","LAVINGTON NSW 2641",NA,"2641","Albury"
"31","Kiddiewinks Early Learning and Care Centre","LAVINGTON NSW 2641","Vacancy","2641","Albury"
"32","Lavington PS TheirCare","LAVINGTON NSW 2641","No Vacancy","2641","Albury"
"33","Cubby House Early Learning and Care Centre","LAVINGTON NSW 2641","No Vacancy","2641","Albury"
"34","Goodstart Early Learning Lavington","LAVINGTON NSW 2641","Vacancy","2641","Albury"
"35","Holy Spirit PS (Lavington) OSHC - Extend","LAVINGTON NSW 2641","No Vacancy","2641","Albury"
"36","St Augustine's PS OSHC - Extend","WODONGA VIC 3690","No Vacancy","3690","Wodonga"
"37","Bright Horizons Australia Childcare Wodonga","WODONGA VIC 3690","Vacancy","3690","Wodonga"
"38","Kids Belong Family Daycare Pty Ltd","WODONGA VIC 3690","No Vacancy","3690","Wodonga"
"39","KIDS BELONG FAMILY DAYCARE","WODONGA VIC 3690","No Vacancy","3690","Wodonga"
"40","Community Kids Lavington Early Education Centre","LAVINGTON NSW 2641","Vacancy","2641","Albury"
"41","Stanley Street Preschool","WODONGA VIC 3690",NA,"3690","Wodonga"
"42","Riverview Child Care Centre","WODONGA VIC 3690","Vacancy","3690","Wodonga"
"43","Bumble Bees Childcare Centre","WEST WODONGA VIC 3690","No Vacancy","3690","Wodonga"
"44","Bumble Bees Childcare Thomas Mitchell Drive","WODONGA VIC 3690","No Vacancy","3690","Wodonga"
"45","Belgrade Avenue Preschool","WODONGA VIC 3690",NA,"3690","Wodonga"
"46","NurtureOne Wodonga Children's Centre","WODONGA VIC 3690","Vacancy","3690","Wodonga"
"47","Banjora Children's Centre","SPRINGDALE HEIGHTS NSW 2641","No Vacancy","2641","Albury"
"48","Wodonga West PS TheirCare","WODONGA VIC 3690","Vacancy","3690","Wodonga"
"49","Kids on Campus","WODONGA VIC 3690","Vacancy","3690","Wodonga"
"50","Wodonga West Children's Centre","WODONGA VIC 3690",NA,"3690","Wodonga"
"51","Springdale Heights Preschool","SPRINGDALE HEIGHTS NSW 2641",NA,"2641","Albury"
"52","Moorefield Park Child Care Centre","WEST WODONGA VIC 3690","Vacancy","3690","Wodonga"
"53","Village Early Education Wodonga","WODONGA VIC 3690","No Vacancy","3690","Wodonga"
"54","Wodonga PS TheirCare","WODONGA VIC 3690","No Vacancy","3690","Wodonga"
"55","Kids on Campus Family Day Care","WEST WODONGA VIC 3690","Vacancy","3690","Wodonga"
"56","Goodstart Early Learning Wodonga","WODONGA VIC 3690","Vacancy","3690","Wodonga"
"57","Wodonga Catholic Parish OSHC - St Monica's","WODONGA VIC 3690","Vacancy","3690","Wodonga"
"58","Community Kids Wodonga Early Education Centre","WEST WODONGA VIC 3690","No Vacancy","3690","Wodonga"
"59","Bright beginnings learning centre wodonga Pty Ltd","WODONGA VIC 3690","No Vacancy","3690","Wodonga"
"60","Cool Frogs Wodonga","WEST WODONGA VIC 3690","No Vacancy","3690","Wodonga"
"61","Koori First Steps Preschool","WODONGA VIC 3690",NA,"3690","Wodonga"
"62","Jamieson Court Children's Centre","WEST WODONGA VIC 3690",NA,"3690","Wodonga"
"63","Thurgoona Pre-school","THURGOONA NSW 2640",NA,"2640","Albury"
"64","Victory Lutheran College TheirCare","WEST WODONGA VIC 3690","No Vacancy","3690","Wodonga"
"65","Southern Rise Children's Centre","WODONGA VIC 3690",NA,"3690","Wodonga"
"66","Wodonga South PS TheirCare","WODONGA VIC 3690","Vacancy","3690","Wodonga"
"67","Early Years Academy Thurgoona","THURGOONA NSW 2640","No Vacancy","2640","Albury"
"68","Melrose PS TheirCare","WEST WODONGA VIC 3690","Vacancy","3690","Wodonga"
"69","Goodstart Early Learning Thurgoona","THURGOONA NSW 2640","Vacancy","2640","Albury"
"70","Felltimber Children's Centre","WEST WODONGA VIC 3690",NA,"3690","Wodonga"
"71","Murray Childrens Centre","THURGOONA NSW 2640","Vacancy","2640","Albury"
"72","AlburyCity Trinity OOSH","THURGOONA NSW 2640","No Vacancy","2640","Albury"
"73","Eden Academy Thurgoona","THURGOONA NSW 2640","Vacancy","2640","Albury"
"74","Bandiana PS TheirCare","BANDIANA VIC 3691","Vacancy","3691","Wodonga"
"75","Thurgoona Early Learning","THURGOONA NSW 2640","No Vacancy","2640","Albury"
"76","Wodonga Catholic Parish OSHC - St Francis Campus","BARANDUDA VIC 3691","No Vacancy","3691","Wodonga"
"77","Village Early Education Baranduda","BARANDUDA VIC 3691","No Vacancy","3691","Wodonga"
"78","Baranduda Community Centre","BARANDUDA VIC 3691",NA,"3691","Wodonga"
"79","Baranduda PS TheirCare","BARANDUDA VIC 3691","Vacancy","3691","Wodonga"
"80","Jindera Public School TheirCare","JINDERA NSW 2642","Vacancy","2642","Greater Hume Shire"
"81","Jindera Preschool","JINDERA NSW 2642",NA,"2642","Greater Hume Shire"
"82","Little Saints Preschool","JINDERA NSW 2642",NA,"2642","Greater Hume Shire"
"83","Bellbridge Early Years Learning Centre","BELLBRIDGE VIC 3691","No Vacancy","3691","Wodonga"
"84","Barnawartha Out Of School Hours Care","BARNAWARTHA VIC 3688","Vacancy","3688","Indigo"
"85","Kiewa Valley Kids","TANGAMBALANGA VIC 3691","Vacancy","3691","Wodonga"
"86","Kiewa Valley Kindergarten","TANGAMBALANGA VIC 3691","No Vacancy","3691","Wodonga"
"87","Kiewa Valley Primary School Combined Out of School Hour Care","TANGAMBALANGA VIC 3691","No Vacancy","3691","Wodonga"
"88","Yackandandah Kindergarten","YACKANDANDAH VIC 3749",NA,"3749","Indigo"
"89","Howlong Preschool","HOWLONG NSW 2643",NA,"2643","Federation"
"90","Little Yacks Learning Years (LYLY)","YACKANDANDAH VIC 3749","No Vacancy","3749","Indigo"
"91","Little Ones Early Learning","HOWLONG NSW 2643","No Vacancy","2643","Federation"
"92","Yackandandah Primary School Outside School Hours Care","YACKANDANDAH VIC 3749","No Vacancy","3749","Indigo"
"93","Burrumbuttock Preschool","BURRUMBUTTOCK NSW 2642",NA,"2642","Greater Hume Shire"
"94","Big Childcare - Burrumbuttock PS OSHC","BURRUMBUTTOCK NSW 2642","No Vacancy","2642","Greater Hume Shire"
"95","Chiltern Kindergarten","CHILTERN VIC 3683","No Vacancy","3683","Indigo"
"96","Tallangatta Early Years Learning Centre","TALLANGATTA VIC 3700","No Vacancy","3700","Towong"
"97","Greater Hume Children Services Walla Walla","WALLA WALLA NSW 2659","No Vacancy","2659","Greater Hume Shire"
"98","Greater Hume Children Services Walla Walla","Walla Walla NSW 2659","Vacancy","2659","Greater Hume Shire"
"99","Beechworth PS TheirCare","BEECHWORTH VIC 3747","Vacancy","3747","Indigo"
"100","Beechworth Kindergarten Inc.","BEECHWORTH VIC 3747",NA,"3747","Indigo"
"101","Beechworth Community Early Years Learning Centre INC","BEECHWORTH VIC 3747","Vacancy","3747","Indigo"
"102","St Joseph's Beechworth TheirCare","BEECHWORTH VIC 3747","No Vacancy","3747","Indigo"
"103","Beechworth Montessori","BEECHWORTH VIC 3747",NA,"3747","Indigo"
"104","Indigo North Health Rutherglen OSHC","RUTHERGLEN VIC 3685","Vacancy","3685","Indigo"
"105","Rutherglen Kindergarten","RUTHERGLEN VIC 3685",NA,"3685","Indigo"
"106","Dederang Primary School Care","DEDERANG VIC 3691","No Vacancy","3691","Wodonga"
"107","Dederang Primary School OSHC","DEDERANG VIC 3691","No Vacancy","3691","Wodonga"
"108","Greater Hume Children Services Culcairn","CULCAIRN NSW 2660","Vacancy","2660","Greater Hume Shire"
"109","Boongaiai Preschool","ARMIDALE NSW 2350",NA,"2350","Armidale Regional"
"110","Big Childcare - Ben Venue PS OSHC","ARMIDALE NSW 2350","No Vacancy","2350","Armidale Regional"
"111","Tiny Town Child Care - Armidale","ARMIDALE NSW 2350","No Vacancy","2350","Armidale Regional"
"112","Little Bear Child Care Cottage","ARMIDALE NSW 2350","No Vacancy","2350","Armidale Regional"
"113","Armidale and District Family Day Care","ARMIDALE NSW 2350","No Vacancy","2350","Armidale Regional"
"114","Drummond Park Preschool","ARMIDALE NSW 2350",NA,"2350","Armidale Regional"
"115","Armidale Out of School Hours Care","ARMIDALE NSW 2350","No Vacancy","2350","Armidale Regional"
"116","Adventureland Preschool","ARMIDALE NSW 2350",NA,"2350","Armidale Regional"
"117","Esteem Kids St Mary's Armidale","ARMIDALE NSW 2350","No Vacancy","2350","Armidale Regional"
"118","Minimbah Preschool and Primary School Aboriginal Corporation","ARMIDALE NSW 2350",NA,"2350","Armidale Regional"
"119","PCYC- Out Of School Hours Armidale","ARMIDALE NSW 2350","Vacancy","2350","Armidale Regional"
"120","Armidale Community Preschool","ARMIDALE NSW 2350",NA,"2350","Armidale Regional"
"121","St Peters Preschool","ARMIDALE NSW 2350",NA,"2350","Armidale Regional"
"122","Galloway Childrens Centre","ARMIDALE NSW 2350","Vacancy","2350","Armidale Regional"
"123","Armidale Montessori Pre school","ARMIDALE NSW 2350","Vacancy","2350","Armidale Regional"
"124","Yarm Gwanga Preschool and Early Education Centre","ARMIDALE NSW 2351","Vacancy","2351",NA
"125","TG's Child Care - Armidale","ARMIDALE NSW 2350","No Vacancy","2350","Armidale Regional"
"126","Yarm Gwanga Vacation Care","ARMIDALE NSW 2351","Vacancy","2351",NA
"127","Hobbit New England Preschool & Child Care Centre","ARMIDALE NSW 2350","No Vacancy","2350","Armidale Regional"
"128","Guyra Preschool & Long Daycare Centre","GUYRA NSW 2365","No Vacancy","2365","Armidale Regional"
"129","Guyra OSHC","GUYRA NSW 2365","No Vacancy","2365","Armidale Regional"
"130","Milestones Early Learning Armidale","ARMIDALE NSW 2350","No Vacancy","2350","Armidale Regional"
"131","Esteem Kids St Joseph's Uralla","URALLA NSW 2358","No Vacancy","2358","Uralla"
"132","Uralla Preschool","URALLA NSW 2358",NA,"2358","Uralla"
"133","TG's Child Care - Uralla","URALLA NSW 2358","No Vacancy","2358","Uralla"
"134","Ballina Fox Street Preschool","BALLINA NSW 2478",NA,"2478","Ballina"
"135","Active Kids After School Care","BALLINA NSW 2478","No Vacancy","2478","Ballina"
"136","Rainbow Central Ballina OOSHC","BALLINA NSW 2478","No Vacancy","2478","Ballina"
"137","Ballina-Byron Family Day Care","BALLINA NSW 2478","No Vacancy","2478","Ballina"
"138","Ballina River Street Childrens Centre","BALLINA NSW 2478",NA,"2478","Ballina"
"139","Rainbow Education & Care","BALLINA NSW 2478","No Vacancy","2478","Ballina"
"140","Goodstart Early Learning Ballina","BALLINA NSW 2478","Vacancy","2478","Ballina"
"141","Imagine Childcare and Preschool Ballina","WEST BALLINA NSW 2478","Vacancy","2478","Ballina"
"142","Rainbow East Ballina OOSHC","EAST BALLINA NSW 2478","No Vacancy","2478","Ballina"
"143","Ballina Aboriginal Child & Family Centre","BALLINA NSW 2478","Vacancy","2478","Ballina"
"144","Seeds Early Learning Centre - Ballina","BALLINA NSW 2478","Vacancy","2478","Ballina"
"145","Emmanuel Anglican College Early Learning Centre","WEST BALLINA NSW 2478","No Vacancy","2478","Ballina"
"146","St Anne's Long Day Care Centre","SKENNARS HEAD NSW 2478","No Vacancy","2478","Ballina"
"147","Active Kids After School Care","SKENNARS HEAD NSW 2478","No Vacancy","2478","Ballina"
"148","Goodstart Early Learning Lennox Head","LENNOX HEAD NSW 2478","Vacancy","2478","Ballina"
"149","Harmony Early Learning Journey Lennox Head","LENNOX HEAD NSW 2478","Vacancy","2478","Ballina"
"150","Lennox Head Community Preschool","LENNOX HEAD NSW 2478",NA,"2478","Ballina"
"151","Rainbow Lennox Head OOSHC","LENNOX HEAD NSW 2478","No Vacancy","2478","Ballina"
"152","Bright Horizons Australia Childcare Tintenbar","TINTENBAR NSW 2480","Vacancy","2480","Lismore"
"153","Rainbow Teven Tintenbar OOSHC","TINTENBAR NSW 2478","No Vacancy","2478","Ballina"
"154","Alstonville Community Preschool","ALSTONVILLE NSW 2477",NA,"2477","Ballina"
"155","Alstonville Early Learning","ALSTONVILLE NSW 2477","No Vacancy","2477","Ballina"
"156","Possum Place Early Learning Centre","ALSTONVILLE NSW 2477","No Vacancy","2477","Ballina"
"157","Rainbow Region Kids Alstonville","ALSTONVILLE NSW 2477","Vacancy","2477","Ballina"
"158","The Learning Cottage Wollongbar","WOLLONGBAR NSW 2477","No Vacancy","2477","Ballina"
"159","Rainbow Region Kids Wollongbar","WOLLONGBAR NSW 2477","Vacancy","2477","Ballina"
"160","Wollongbar Community Pre-School","WOLLONGBAR NSW 2477",NA,"2477","Ballina"
"161","Harmony Early Learning Journey Bangalow","BANGALOW NSW 2479","No Vacancy","2479","Byron"
"162","Byron Bay Preschool Coogera Centre","SUFFOLK PARK NSW 2481",NA,"2481","Byron"
"163","Bangalow Community Children's Centre","BANGALOW NSW 2479","No Vacancy","2479","Byron"
"164","Mirabelle Early Learning","BANGALOW NSW 2479","No Vacancy","2479","Byron"
"165","Clunes Outside School Hours Care","CLUNES NSW 2480","No Vacancy","2480","Lismore"
"166","Clunes Community Preschool","CLUNES NSW 2480",NA,"2480","Lismore"
"167","Active Kids After School Care","GOONELLABAH NSW 2480","No Vacancy","2480","Lismore"
"168","Bumblebee Early Education Centre","GOONELLABAH NSW 2480","Vacancy","2480","Lismore"
"169","First Steps Early Learning Centre","GOONELLABAH NSW 2480","No Vacancy","2480","Lismore"
"170","Goodstart Early Learning Goonellabah","GOONELLABAH NSW 2480","Vacancy","2480","Lismore"
"171","PCYC- Out Of School Hours Kadina","GOONELLABAH NSW 2480","No Vacancy","2480","Lismore"
"172","Richmond Hill Community Pre-School","RICHMOND HILL NSW 2480",NA,"2480","Lismore"
"173","Goodstart Early Learning Byron Bay","BYRON BAY NSW 2481","Vacancy","2481","Byron"
"174","Goonellabah Nestle In Preschool and Early Learning Centre","GOONELLABAH NSW 2480","No Vacancy","2480","Lismore"
"175","Care-Ring Childrens Centre","GOONELLABAH NSW 2480","Vacancy","2480","Lismore"
"176","Bexhill Outside School Hours Care","BEXHILL NSW 2480","No Vacancy","2480","Lismore"
"177","Out of School Hours Goonellabah Inc","GOONELLABAH NSW 2480","No Vacancy","2480","Lismore"
"178","Goonellabah Pre-School Incorporated","GOONELLABAH NSW 2480",NA,"2480","Lismore"
"179","Byron Bay Out of School Hours Care","BYRON BAY NSW 2481","No Vacancy","2481","Byron"
"180","Cavanbah Centre","BYRON BAY NSW 2481",NA,"2481","Byron"
"181","Jarjum Centre Inc","GOONELLABAH NSW 2480",NA,"2480","Lismore"
"182","Sandhills Early Childhood Centre","BYRON BAY NSW 2481","Vacancy","2481","Byron"
"183","Kool Beanz Academy Byron Bay","BYRON BAY NSW 2481","No Vacancy","2481","Byron"
"184","Byron Busy Kids","BYRON BAY NSW 2481","No Vacancy","2481","Byron"
"185","Periwinkle Pre- School","BYRON BAY NSW 2481",NA,"2481","Byron"
"186","Federal Community Childrens Centre Incorporated","FEDERAL NSW 2480","No Vacancy","2480","Lismore"
"187","Southern Cross University Children's Centre","LISMORE NSW 2480","Vacancy","2480","Lismore"
"188","Blinky's Corner Child Care Centre","LISMORE NSW 2480","Vacancy","2480","Lismore"
"189","Lismore Heights Outside School Hours Care","LISMORE HEIGHTS NSW 2480","No Vacancy","2480","Lismore"
"190","Rosebank Community Preschool","ROSEBANK NSW 2480",NA,"2480","Lismore"
"191","East Lismore Community Preschool","EAST LISMORE NSW 2480",NA,"2480","Lismore"
"192","Helping Hands Wyrallah Road","EAST LISMORE NSW 2480","No Vacancy","2480","Lismore"
"193","Rainbow Region Kids Lismore","LISMORE NSW 2480","Vacancy","2480","Lismore"
"194","Our Lady Help of Christians Parish Outside School Hours Care","EAST LISMORE NSW 2480","No Vacancy","2480","Lismore"
"195","Lismore Preschool Incorporated","LISMORE NSW 2480",NA,"2480","Lismore"
"196","The Friends Long Day Child Care Centre","LISMORE NSW 2480","No Vacancy","2480","Lismore"
"197","Northern Rivers In Home Care","LISMORE NSW 2480","No Vacancy","2480","Lismore"
"198","Northern Rivers Family Day Care","LISMORE NSW 2480","No Vacancy","2480","Lismore"
"199","Gingerbread House Occasional Care Centre","LISMORE NSW 2480","No Vacancy","2480","Lismore"
"200","Me and My House Child Care Centre","LISMORE NSW 2480","Vacancy","2480","Lismore"
"201","Active Kids After School Care","LISMORE NSW 2480","No Vacancy","2480","Lismore"
"202","Lismore Parish Centre Pre School","LISMORE NSW 2480",NA,"2480","Lismore"
"203","First Steps Early Learning Centre","EAST LISMORE NSW 2480","No Vacancy","2480","Lismore"
"204","Lismore South OSHC","SOUTH LISMORE NSW 2480","No Vacancy","2480","Lismore"
"205","Lismore South Public School Ngulliboo Jarjums Preschool","LISMORE NSW 2480",NA,"2480","Lismore"
"206","Coraki Preschool","CORAKI NSW 2471",NA,"2471","Richmond Valley"
"207","Evans Head Pre-school","EVANS HEAD NSW 2473",NA,"2473","Richmond Valley"
"208","St Joseph's Outside School Hours Care","CORAKI NSW 2471","Vacancy","2471","Richmond Valley"
"209","Sandcastles Early Education Centre Evans Head","EVANS HEAD NSW 2473","No Vacancy","2473","Richmond Valley"
"210","Dunoon OSHC","DUNOON NSW 2479","No Vacancy","2479","Byron"
"211","Dunoon Pre-School","DUNOON NSW 2480",NA,"2480","Lismore"
"212","WOODBURN-EVANS HEAD PRESCHOOL","WOODBURN NSW 2472",NA,"2472","Richmond Valley"
"213","Lilly Pilly Little School","BRUNSWICK HEADS NSW 2483",NA,"2483","Byron"
"214","Kool Beanz Academy Mullumbimby","MULLUMBIMBY NSW 2482","No Vacancy","2482","Byron"
"215","The Channon Children's Centre","THE CHANNON NSW 2480",NA,"2480","Lismore"
"216","Cobbers Child Care Centre","MULLUMBIMBY NSW 2482","No Vacancy","2482","Byron"
"217","Mullumbimby Outside School Hours Care","MULLUMBIMBY NSW 2482","No Vacancy","2482","Byron"
"218","Little Shearwater","MULLUMBIMBY CREEK NSW 2482",NA,"2482","Byron"
"219","Brunswick Heads Out of School Hours Care","BRUNSWICK HEADS NSW 2483","No Vacancy","2483","Byron"
"220","Durrumbul Community Pre-School","MULLUMBIMBY NSW 2482",NA,"2482","Byron"
"221","Ocean Shores Early Learning Centre","OCEAN SHORES NSW 2483","Vacancy","2483","Byron"
"222","Kool Beanz Academy Ocean Shores","OCEAN SHORES NSW 2483","Vacancy","2483","Byron"
"223","Wilson's Creek Community Preschool","WILSONS CREEK NSW 2482",NA,"2482","Byron"
"224","Billi-Lids Long Day Care Centre","BILLINUDGEL NSW 2483","No Vacancy","2483","Byron"
"225","Ocean Shores Preschool","OCEAN SHORES NSW 2483",NA,"2483","Byron"
"226","Rainbow Region Kids Ocean Shores","OCEAN SHORES NSW 2483","Vacancy","2483","Byron"
"227","Bentley Community Preschool","BENTLEY NSW 2480",NA,"2480","Lismore"
"228","The Tower Pre-School","JIGGI NSW 2480",NA,"2480","Lismore"
"229","Tuntable Falls Early Childhood Centre","NIMBIN NSW 2480",NA,"2480","Lismore"
"230","Nimbin Pre-School","NIMBIN NSW 2480",NA,"2480","Lismore"
"231","Nimbin Child Care Facility","NIMBIN NSW 2480","No Vacancy","2480","Lismore"
"232","Burringbar Community Preschool Inc","BURRINGBAR NSW 2483",NA,"2483","Byron"
"233","Inspire @ Burringbar Public School","BURRINGBAR NSW 2483","No Vacancy","2483","Byron"
"234","Balranald Early Learning Centre","BALRANALD NSW 2715","No Vacancy","2715","Balranald"
"235","Tooleybuc Preschool Association","TOOLEYBUC NSW 2736",NA,"2736","Murray River"
"236","Milestones Early Learning Centre (Bathurst)","BATHURST NSW 2795","No Vacancy","2795","Bathurst Regional"
"237","Elizabeth Chifley Presbyterian Preschool","BATHURST NSW 2795",NA,"2795","Bathurst Regional"
"238","Scallywags Long Day Care and Preschool","BATHURST NSW 2795","No Vacancy","2795","Bathurst Regional"
"239","Bathurst Family Day Care","BATHURST NSW 2795","No Vacancy","2795","Bathurst Regional"
"240","Cathedral OSHC","BATHURST NSW 2795","No Vacancy","2795","Bathurst Regional"
"241","Jenny's Kindergarten and Early Learning Centre - Bathurst CBD","BATHURST NSW 2795","Vacancy","2795","Bathurst Regional"
"242","Assumption OSHC","BATHURST NSW 2795","No Vacancy","2795","Bathurst Regional"
"243","Big Childcare - Bathurst PS OSHC","BATHURST NSW 2795","No Vacancy","2795","Bathurst Regional"
"244","Keppel Street Kindy","BATHURST NSW 2795","Vacancy","2795","Bathurst Regional"
"245","Gowrie NSW Bathurst West Outside School Hours Care","BATHURST NSW 2795","Vacancy","2795","Bathurst Regional"
"246","Goodstart Early Learning Kelso - Gilmour Street","KELSO NSW 2795","Vacancy","2795","Bathurst Regional"
"247","Great Beginnings Bathurst","KELSO NSW 2795","Vacancy","2795","Bathurst Regional"
"248","SDN Hamilton Street Children's Education and Care Centre","SOUTH BATHURST NSW 2795","No Vacancy","2795","Bathurst Regional"
"249","Scots All Saints College After School Care","BATHURST NSW 2795","No Vacancy","2795","Bathurst Regional"
"250","Goodstart Early Learning Bathurst","BATHURST NSW 2795","Vacancy","2795","Bathurst Regional"
"251","Mitchell Early Learning Centre","BATHURST NSW 2795","No Vacancy","2795","Bathurst Regional"
"252","Gowrie NSW Kelso Outside School Hours Care","BATHURST NSW 2795","Vacancy","2795","Bathurst Regional"
"253","Bathurst Little Learning Centre","SOUTH BATHURST NSW 2795","No Vacancy","2795","Bathurst Regional"
"254","Big Childcare - Bathurst South PS OSHC","BATHURST NSW 2795","No Vacancy","2795","Bathurst Regional"
"255","Holy Family OSHC","KELSO NSW 2795","No Vacancy","2795","Bathurst Regional"
"256","Kelso Childrens Centre","KELSO NSW 2795","Vacancy","2795","Bathurst Regional"
"257","West Bathurst Preschool","BATHURST NSW 2795",NA,"2795","Bathurst Regional"
"258","Balance Early Education","BATHURST NSW 2795","Vacancy","2795","Bathurst Regional"
"259","St Phil's OSHC","SOUTH BATHURST NSW 2795","No Vacancy","2795","Bathurst Regional"
"260","Bathurst ELC","ROBIN HILL NSW 2795","Vacancy","2795","Bathurst Regional"
"261","Towri MACS","SOUTH BATHURST NSW 2795","No Vacancy","2795","Bathurst Regional"
"262","Imagine Childcare and Preschool Kelso","KELSO NSW 2795","Vacancy","2795","Bathurst Regional"
"263","Juniors Journey Early Education","EGLINTON NSW 2795","Vacancy","2795","Bathurst Regional"
"264","Fiona Childcare Centre Bathurst","EGLINTON NSW 2795","No Vacancy","2795","Bathurst Regional"
"265","Eglinton Out of School Hours Care","EGLINTON NSW 2795","Vacancy","2795","Bathurst Regional"
"266","Big Childcare - Raglan PS OSHC","RAGLAN NSW 2795","No Vacancy","2795","Bathurst Regional"
"267","Big Childcare - Perthville PS OSHC","PERTHVILLE NSW 2795","No Vacancy","2795","Bathurst Regional"
"268","Big Childcare - O'Connell PS OSHC","O'CONNELL NSW 2795","No Vacancy","2795","Bathurst Regional"
"269","Big Childcare - Rockley PS OSHC","ROCKLEY NSW 2795","No Vacancy","2795","Bathurst Regional"
"270","Big Childcare - Wattle Flat PS OSHC","WATTLE FLAT NSW 2795","No Vacancy","2795","Bathurst Regional"
"271","Blayney Early Learners","BLAYNEY NSW 2799","No Vacancy","2799","Blayney"
"272","Circle Early Learning","BLAYNEY NSW 2799","No Vacancy","2799","Blayney"
"273","Blayney Pre-School","BLAYNEY NSW 2799",NA,"2799","Blayney"
"274","Millthorpe Little Learning Centre","MILLTHORPE NSW 2798","No Vacancy","2798","Blayney"
"275","Cabonne After School Hours Care Service - Millthorpe","MILLTHORPE NSW 2798","Vacancy","2798","Blayney"
"276","Big Childcare - Millthorpe PS OSHC","MILLTHORPE NSW 2798","No Vacancy","2798","Blayney"
"277","Blinky Bill Early Learning Portland INC","PORTLAND NSW 2847","No Vacancy","2847","Lithgow"
"278","Big Childcare - Portland Central PS OSHC","PORTLAND NSW 2847","No Vacancy","2847","Lithgow"
"279","Oberon Children's Centre","OBERON NSW 2787",NA,"2787","Oberon"
"280","Big Childcare - Oberon PS OSHC","OBERON NSW 2787","No Vacancy","2787","Oberon"
"281","Big Childcare - Carcoar PS OSHC","CARCOAR NSW 2791","No Vacancy","2791","Blayney"
"282","Banksmeadow Public School Preschool","BOTANY NSW 2019",NA,"2019","Bayside (NSW)"
"283","Big Childcare - Banksmeadows PS OSHC","BANKSMEADOW NSW 2019","No Vacancy","2019","Bayside (NSW)"
"284","Zig and Zag Long Day Care Centre","BOTANY NSW 2019","Vacancy","2019","Bayside (NSW)"
"285","Star Club","BOTANY NSW 2019","Vacancy","2019","Bayside (NSW)"
"286","Edward Street Early Learning Centre","BOTANY NSW 2019","No Vacancy","2019","Bayside (NSW)"
"287","All Star Early Learners","BOTANY NSW 2019","No Vacancy","2019","Bayside (NSW)"
"288","Hippo's Friends Long Day Child Care Centre","BOTANY NSW 2019","Vacancy","2019","Bayside (NSW)"
"289","Botany Bay Preschool","BOTANY NSW 2019","No Vacancy","2019","Bayside (NSW)"
"290","John Brotchie Nursery School","BOTANY NSW 2019",NA,"2019","Bayside (NSW)"
"291","TeamKids - Botany Public School","BOTANY NSW 2019","No Vacancy","2019","Bayside (NSW)"
"292","Kiddie Cloud Early Learning Centre","PAGEWOOD NSW 2035","Vacancy","2035","Randwick"
